Age_Group,Gender,Education,Income,Region,Social_Media_Time,Marketing_Channels,Products_Purchased,Likelihood_Try_New_Brand,Influencing_Factors,Purchase_Last_3mo,Referral_Willingness,Monthly_Online_Spend,Interest_Recommendation_Service,Comfort_Data_Personalization,Biggest_Challenge,Cart_Abandon_Freq,Campaign_Satisfaction,Tech_Attitude
25–34,Male,Undergraduate,8864.0,South,2+ hours,"Instagram, Other",Apparel,Likely,"Friend recommendations, Product reviews",No,Neutral,2054.0,Maybe,Very comfortable,"Complicated checkout, Not enough discounts, Others",Rarely,4.0,Open but cautious
18–24,Male,High school,9268.0,Central/Other,30–60 mins,"Google Ads, Instagram, Other",Services,Likely,"Brand reputation, Discounts/Offers",Yes,Likely,1714.0,No,Comfortable,"Lack of trust, Others, Slow delivery",Sometimes,5.0,Skeptical
25–34,Female,High school,11358.0,North,,"Email, Instagram, SMS",Apparel,Very likely,"Discounts/Offers, Personalization",Yes,Neutral,883.0,Yes,Neutral,"Complicated checkout, Others, Too many choices",Sometimes,5.0,Open but cautious
25–34,Male,High school,9378.0,South,30–60 mins,"Email, Other, SMS",Apparel,Likely,"Brand reputation, Discounts/Offers",Yes,Unlikely,2590.0,No,Uncomfortable,Slow delivery,Always,5.0,Open but cautious
18–24,Female,Undergraduate,52371.0,Central/Other,2+ hours,"Google Ads, Instagram, Other",Apparel,Likely,"Friend recommendations, Product reviews",Yes,Neutral,1834.0,Maybe,Neutral,"Complicated checkout, Not enough discounts, Too many choices",Sometimes,5.0,Excited
55+,Male,Undergraduate,17230.0,West,<30 mins,Email,Services,Likely,"Discounts/Offers, Personalization",Yes,Neutral,1228.0,,Comfortable,"Lack of trust, Not enough discounts",Rarely,1.0,Disinterested
25–34,Male,Undergraduate,14238.0,East,1–2 hours,"Facebook, Instagram",Groceries,Likely,"Brand reputation, Product reviews",Yes,Very likely,2004.0,Yes,Very comfortable,"Slow delivery, Too many choices",Rarely,2.0,Excited
45–54,Prefer not to say,Undergraduate,140214.0,South,30–60 mins,Instagram,Apparel,Very likely,"Friend recommendations, Product reviews",No,Very unlikely,2134.0,Maybe,Comfortable,Others,Never,3.0,Open but cautious
35–44,Male,Undergraduate,12936.0,North,1–2 hours,"Facebook, Instagram",Electronics,Unlikely,"Brand reputation, Discounts/Offers",Yes,Neutral,1950.0,Maybe,Uncomfortable,"Complicated checkout, Not enough discounts, Others",Sometimes,1.0,Skeptical
35–44,Female,Undergraduate,32173.0,West,30–60 mins,"Facebook, Instagram",Electronics,Unlikely,"Personalization, Visual appeal",Yes,Neutral,1029.0,Yes,Comfortable,"Others, Slow delivery, Too many choices",Sometimes,3.0,Excited
25–34,Male,High school,30531.0,Central/Other,,Instagram,Groceries,Very likely,"Brand reputation, Friend recommendations",Yes,Neutral,515.0,Yes,Neutral,Lack of trust,Rarely,5.0,Open but cautious
25–34,Male,Postgraduate,17765.0,East,30–60 mins,Other,Apparel,Likely,"Brand reputation, Discounts/Offers",No,Very unlikely,1737.0,Yes,Very uncomfortable,"Lack of trust, Others, Too many choices",Sometimes,3.0,Open but cautious
25–34,Male,Postgraduate,11272.0,North,2+ hours,"Email, Facebook, Google Ads",Services,Likely,"Personalization, Product reviews",,Neutral,1249.0,Maybe,Uncomfortable,"Complicated checkout, Lack of trust, Not enough discounts",Sometimes,4.0,Neutral
18–24,Female,Undergraduate,19965.0,Central/Other,30–60 mins,"Email, Other, SMS",Apparel,Likely,"Friend recommendations, Visual appeal",No,Likely,518.0,Yes,Uncomfortable,"Others, Slow delivery",Rarely,4.0,Open but cautious
35–44,Male,Undergraduate,12326.0,Central/Other,<30 mins,Google Ads,Groceries,Unlikely,"Brand reputation, Discounts/Offers",Yes,Neutral,1167.0,No,Comfortable,"Lack of trust, Others",Rarely,2.0,Skeptical
25–34,Female,Postgraduate,13535.0,South,1–2 hours,SMS,,Likely,"Personalization, Product reviews",Yes,Neutral,1405.0,Yes,Neutral,"Not enough discounts, Others, Slow delivery",Always,2.0,Skeptical
Under 18,Male,High school,100543.0,South,1–2 hours,Google Ads,Electronics,Likely,"Discounts/Offers, Product reviews",Yes,Unlikely,1201.0,Maybe,Neutral,"Not enough discounts, Others",Sometimes,3.0,Neutral
35–44,Non-binary/Other,High school,21986.0,North,2+ hours,Instagram,Electronics,Neutral,"Brand reputation, Discounts/Offers",Yes,Unlikely,1468.0,Yes,Very comfortable,Slow delivery,Often,1.0,Neutral
18–24,Male,High school,34253.0,Central/Other,<30 mins,"Email, Google Ads, SMS",Electronics,Neutral,"Brand reputation, Discounts/Offers",Yes,Neutral,848.0,Maybe,Neutral,Slow delivery,Sometimes,1.0,Open but cautious
45–54,Female,Postgraduate,16933.0,South,1–2 hours,"Facebook, Other",Apparel,Likely,"Brand reputation, Product reviews",Yes,Likely,966.0,Maybe,Very uncomfortable,"Complicated checkout, Lack of trust, Not enough discounts",Often,5.0,Open but cautious
55+,Female,High school,16604.0,East,30–60 mins,"Google Ads, SMS",Groceries,Unlikely,"Discounts/Offers, Visual appeal",Yes,Very likely,1572.0,Yes,Neutral,Not enough discounts,Often,1.0,Neutral
45–54,Female,Undergraduate,39163.0,East,30–60 mins,"Email, Google Ads, Other",Apparel,Very likely,"Discounts/Offers, Visual appeal",No,Neutral,70.0,No,Uncomfortable,"Not enough discounts, Others, Too many choices",Sometimes,2.0,Skeptical
25–34,Female,Other,35961.0,Central/Other,1–2 hours,"Email, SMS",Groceries,Neutral,"Brand reputation, Product reviews",Yes,Neutral,480.0,Yes,Uncomfortable,Not enough discounts,Often,1.0,Open but cautious
Under 18,Female,Postgraduate,29463.0,South,1–2 hours,Facebook,Services,Likely,"Discounts/Offers, Friend recommendations",Yes,Likely,2132.0,Maybe,Uncomfortable,Lack of trust,Always,5.0,Open but cautious
45–54,Female,Undergraduate,8640.0,North,1–2 hours,"Instagram, Other, SMS",Electronics,Very likely,"Discounts/Offers, Product reviews",Yes,Neutral,991.0,No,Comfortable,"Others, Slow delivery",Sometimes,4.0,Open but cautious
25–34,Male,High school,34167.0,North,30–60 mins,"Email, Google Ads, Other",Groceries,Likely,"Brand reputation, Personalization",No,Neutral,1722.0,Yes,Uncomfortable,"Not enough discounts, Others",Rarely,1.0,Open but cautious
55+,Male,Postgraduate,16704.0,North,30–60 mins,Other,Groceries,Neutral,"Product reviews, Visual appeal",No,Unlikely,1549.0,Yes,Neutral,"Complicated checkout, Others, Slow delivery",Sometimes,1.0,Excited
55+,Female,Undergraduate,47755.0,East,30–60 mins,"Other, SMS",Electronics,Likely,"Discounts/Offers, Product reviews",Yes,Likely,1236.0,Yes,Very comfortable,"Lack of trust, Slow delivery",Often,,Open but cautious
45–54,Female,High school,34247.0,South,2+ hours,SMS,Services,Neutral,"Brand reputation, Friend recommendations",Yes,Neutral,976.0,Maybe,Neutral,"Complicated checkout, Lack of trust, Others",Sometimes,3.0,Open but cautious
25–34,Female,High school,181827.0,South,30–60 mins,Facebook,Apparel,Neutral,"Brand reputation, Friend recommendations",Yes,Likely,1406.0,No,Very comfortable,Slow delivery,Rarely,4.0,Open but cautious
25–34,Male,Postgraduate,8565.0,East,30–60 mins,"Email, Facebook, Instagram",Electronics,Very likely,"Brand reputation, Product reviews",No,Likely,1215.0,Maybe,Neutral,"Complicated checkout, Not enough discounts",Never,3.0,Open but cautious
45–54,Male,Undergraduate,37752.0,North,30–60 mins,"Email, Facebook, Other",Groceries,Likely,"Personalization, Visual appeal",No,Unlikely,386.0,Yes,Neutral,Not enough discounts,Sometimes,5.0,Neutral
25–34,Male,Postgraduate,11996.0,North,1–2 hours,"Email, Instagram",Electronics,Likely,"Friend recommendations, Visual appeal",Yes,Likely,295.0,Yes,Comfortable,"Lack of trust, Others, Too many choices",Rarely,5.0,Skeptical
18–24,Female,Postgraduate,18198.0,Central/Other,30–60 mins,"Facebook, Instagram",Apparel,Neutral,"Personalization, Product reviews",Yes,Likely,1328.0,Maybe,Uncomfortable,Others,Sometimes,3.0,Disinterested
25–34,Male,Undergraduate,9753.0,West,2+ hours,"Google Ads, Instagram, Other",Electronics,Very unlikely,"Discounts/Offers, Visual appeal",Yes,Neutral,589.0,Yes,Uncomfortable,,Sometimes,2.0,Open but cautious
45–54,Male,Undergraduate,22576.0,South,30–60 mins,"Facebook, Instagram, SMS",Services,Very unlikely,"Brand reputation, Product reviews",Yes,Unlikely,1948.0,Maybe,Comfortable,"Complicated checkout, Lack of trust, Others",Sometimes,2.0,Excited
35–44,Male,Undergraduate,18755.0,South,2+ hours,"Instagram, SMS",Services,Likely,"Brand reputation, Personalization",No,Very unlikely,302.0,Yes,Neutral,Lack of trust,Never,2.0,Disinterested
25–34,Male,Undergraduate,15604.0,South,<30 mins,"Facebook, Google Ads",Electronics,Likely,"Personalization, Visual appeal",Yes,Neutral,1826.0,Yes,Comfortable,"Complicated checkout, Others, Slow delivery",Rarely,4.0,Neutral
18–24,Female,Undergraduate,57966.0,West,1–2 hours,Facebook,Groceries,Likely,"Friend recommendations, Product reviews",Yes,Neutral,1698.0,No,Very comfortable,"Complicated checkout, Lack of trust, Slow delivery",Rarely,5.0,Open but cautious
35–44,Male,Postgraduate,13987.0,Central/Other,2+ hours,"Google Ads, Instagram",Services,Likely,"Personalization, Product reviews",No,Neutral,1146.0,Maybe,Neutral,"Complicated checkout, Not enough discounts, Others",Rarely,,Excited
55+,Female,Undergraduate,38625.0,West,30–60 mins,"Facebook, Instagram, SMS",Apparel,Very unlikely,"Personalization, Visual appeal",No,Unlikely,199.0,Maybe,Comfortable,Lack of trust,Sometimes,5.0,Excited
18–24,Male,Postgraduate,15967.0,North,,Instagram,Apparel,Neutral,"Friend recommendations, Product reviews",Yes,Likely,922.0,Yes,Neutral,"Slow delivery, Too many choices",Sometimes,4.0,Excited
25–34,Male,Undergraduate,10105.0,North,30–60 mins,"Google Ads, Instagram",Groceries,Neutral,"Discounts/Offers, Friend recommendations",No,Unlikely,1616.0,Yes,Very comfortable,"Complicated checkout, Lack of trust, Not enough discounts",Rarely,5.0,Excited
45–54,Male,Undergraduate,35471.0,South,2+ hours,Facebook,Services,Neutral,"Discounts/Offers, Friend recommendations",Yes,Unlikely,137.0,No,Comfortable,"Others, Slow delivery",Never,3.0,Skeptical
35–44,Male,Undergraduate,8128.0,East,,"Facebook, Other",Services,Unlikely,"Personalization, Product reviews",No,Neutral,1699.0,No,Very comfortable,"Others, Too many choices",Rarely,1.0,Open but cautious
35–44,Male,Undergraduate,17969.0,South,30–60 mins,"Email, Facebook, Other",Electronics,Very likely,"Brand reputation, Personalization",No,Neutral,509.0,Maybe,Neutral,"Complicated checkout, Not enough discounts, Too many choices",Always,4.0,Neutral
35–44,Male,Undergraduate,,East,30–60 mins,"Email, Google Ads, Other",Apparel,Neutral,"Brand reputation, Discounts/Offers",Yes,Unlikely,344.0,Yes,Comfortable,"Complicated checkout, Lack of trust, Too many choices",Sometimes,1.0,Skeptical
25–34,Female,High school,24104.0,West,30–60 mins,"Google Ads, Instagram, Other",Electronics,Very likely,"Friend recommendations, Personalization",No,Unlikely,1690.0,Maybe,Neutral,"Not enough discounts, Others, Slow delivery",Often,3.0,Neutral
25–34,Male,Undergraduate,22077.0,North,<30 mins,"Instagram, Other, SMS",Apparel,Neutral,"Brand reputation, Personalization",No,Unlikely,931.0,No,Uncomfortable,"Slow delivery, Too many choices",Often,2.0,Skeptical
45–54,Female,High school,17232.0,East,<30 mins,Email,Apparel,Very likely,"Brand reputation, Friend recommendations",Yes,Likely,1367.0,Maybe,Very comfortable,"Lack of trust, Slow delivery, Too many choices",Sometimes,2.0,Disinterested
45–54,Female,Undergraduate,10994.0,,<30 mins,"Google Ads, Instagram",Groceries,Likely,"Brand reputation, Personalization",Yes,Likely,1159.0,No,Very uncomfortable,"Others, Too many choices",Sometimes,2.0,Open but cautious
45–54,Female,Undergraduate,23745.0,North,30–60 mins,"Facebook, Google Ads, SMS",Apparel,Very likely,"Friend recommendations, Visual appeal",No,Neutral,849.0,Yes,Very comfortable,"Not enough discounts, Others, Slow delivery",Rarely,4.0,Disinterested
45–54,Male,Undergraduate,34467.0,East,1–2 hours,"Other, SMS",Services,Very unlikely,"Friend recommendations, Visual appeal",Yes,Likely,211.0,Maybe,Uncomfortable,"Not enough discounts, Others, Too many choices",Sometimes,2.0,Neutral
25–34,Male,Postgraduate,54524.0,South,<30 mins,"Instagram, SMS",Electronics,Likely,"Brand reputation, Personalization",Yes,Likely,1465.0,No,Comfortable,"Complicated checkout, Slow delivery",Rarely,4.0,Excited
25–34,Male,Undergraduate,45595.0,South,<30 mins,"Facebook, Instagram",Electronics,Very likely,"Friend recommendations, Personalization",No,Unlikely,1654.0,Maybe,Neutral,"Not enough discounts, Slow delivery",Often,4.0,Neutral
35–44,Male,Undergraduate,47532.0,South,1–2 hours,"Facebook, Other",Apparel,Unlikely,"Discounts/Offers, Product reviews",No,Very likely,1300.0,Maybe,Neutral,"Not enough discounts, Others",Never,1.0,Neutral
35–44,Prefer not to say,Undergraduate,,West,30–60 mins,Email,Apparel,Unlikely,"Brand reputation, Discounts/Offers",Yes,Likely,1404.0,No,Uncomfortable,"Lack of trust, Too many choices",Often,2.0,Skeptical
35–44,Male,Undergraduate,18356.0,South,<30 mins,"Email, Facebook, Google Ads",Apparel,Neutral,"Discounts/Offers, Personalization",Yes,Unlikely,1178.0,No,Comfortable,"Not enough discounts, Others, Slow delivery",Never,5.0,Open but cautious
35–44,Male,High school,38029.0,Central/Other,30–60 mins,"Google Ads, Other, SMS",Other,Very likely,"Discounts/Offers, Friend recommendations",Yes,Unlikely,926.0,Yes,Neutral,Others,Often,2.0,Open but cautious
45–54,Female,Undergraduate,16372.0,North,2+ hours,Other,Services,Likely,"Brand reputation, Friend recommendations",Yes,Unlikely,2111.0,Yes,Comfortable,"Lack of trust, Slow delivery",Rarely,2.0,Excited
25–34,Female,Undergraduate,235067.0,West,2+ hours,"Facebook, SMS",Electronics,Likely,"Discounts/Offers, Friend recommendations",Yes,Unlikely,2242.0,Yes,Very uncomfortable,"Not enough discounts, Others, Too many choices",Sometimes,2.0,Open but cautious
25–34,Female,Undergraduate,53991.0,South,30–60 mins,"Email, Facebook, SMS",Apparel,Unlikely,"Brand reputation, Personalization",No,Likely,2798.0,Yes,Very uncomfortable,"Complicated checkout, Too many choices",Sometimes,5.0,Excited
18–24,Male,High school,54084.0,North,1–2 hours,Facebook,Services,Very unlikely,"Discounts/Offers, Personalization",Yes,Neutral,277.0,Yes,Uncomfortable,Slow delivery,Sometimes,5.0,Open but cautious
25–34,Male,High school,12243.0,East,1–2 hours,Facebook,Apparel,Likely,"Discounts/Offers, Friend recommendations",Yes,Likely,2523.0,Yes,Neutral,Not enough discounts,Sometimes,4.0,Skeptical
Under 18,Female,Undergraduate,11858.0,,1–2 hours,Facebook,Apparel,Unlikely,"Discounts/Offers, Personalization",Yes,Likely,1192.0,Yes,Comfortable,"Lack of trust, Slow delivery",Always,5.0,Excited
25–34,Male,Other,19270.0,North,1–2 hours,Other,Electronics,Likely,"Friend recommendations, Visual appeal",No,Neutral,756.0,No,Very comfortable,"Not enough discounts, Others",Never,4.0,Open but cautious
25–34,Male,Undergraduate,47131.0,Central/Other,1–2 hours,"Email, Facebook, Google Ads",Services,Very likely,"Brand reputation, Product reviews",Yes,Likely,453.0,Yes,Uncomfortable,Others,Always,1.0,Excited
25–34,Male,Undergraduate,46829.0,East,30–60 mins,SMS,Apparel,Neutral,"Friend recommendations, Visual appeal",Yes,Very unlikely,1658.0,Yes,Comfortable,Slow delivery,Sometimes,4.0,Excited
25–34,Male,High school,12171.0,Central/Other,<30 mins,"Google Ads, Other",Apparel,Likely,"Personalization, Visual appeal",Yes,Neutral,1439.0,No,Comfortable,Slow delivery,Often,2.0,Open but cautious
Under 18,Male,Undergraduate,8652.0,North,30–60 mins,"Email, Instagram, SMS",Services,Unlikely,"Brand reputation, Personalization",Yes,Neutral,1362.0,No,Neutral,"Complicated checkout, Lack of trust, Not enough discounts",Sometimes,3.0,Excited
Under 18,Male,Undergraduate,54221.0,Central/Other,2+ hours,"Facebook, Instagram, SMS",Apparel,Likely,"Friend recommendations, Product reviews",Yes,Very unlikely,1451.0,No,Neutral,Not enough discounts,Sometimes,3.0,Open but cautious
45–54,Female,High school,18332.0,North,1–2 hours,"Facebook, Google Ads",Apparel,Unlikely,"Brand reputation, Visual appeal",Yes,Very unlikely,1555.0,No,Neutral,"Complicated checkout, Lack of trust, Others",Often,2.0,Excited
25–34,Female,Undergraduate,39897.0,North,2+ hours,Facebook,Electronics,Likely,"Personalization, Visual appeal",Yes,Likely,2797.0,Maybe,Uncomfortable,"Not enough discounts, Others, Too many choices",Sometimes,4.0,Excited
18–24,Female,High school,106166.0,Central/Other,2+ hours,"Email, Other",Services,Neutral,"Discounts/Offers, Personalization",Yes,Likely,1274.0,No,Very uncomfortable,Slow delivery,Sometimes,2.0,
25–34,Male,High school,9499.0,North,30–60 mins,"Email, Instagram",Electronics,Likely,"Friend recommendations, Personalization",Yes,Unlikely,1538.0,No,Uncomfortable,Complicated checkout,Never,5.0,Open but cautious
35–44,Male,High school,30292.0,South,1–2 hours,"Email, Google Ads, Other",Other,Likely,"Personalization, Visual appeal",Yes,Likely,846.0,Maybe,Comfortable,"Complicated checkout, Lack of trust",Rarely,4.0,Excited
,Male,High school,10158.0,North,1–2 hours,SMS,Groceries,Unlikely,"Brand reputation, Product reviews",Yes,Likely,3012.0,Maybe,Uncomfortable,"Complicated checkout, Lack of trust, Slow delivery",Sometimes,2.0,Open but cautious
35–44,Female,High school,13973.0,West,2+ hours,"Email, Google Ads",Apparel,Likely,"Discounts/Offers, Visual appeal",Yes,Neutral,328.0,No,Uncomfortable,"Not enough discounts, Others, Too many choices",Sometimes,5.0,Skeptical
18–24,Female,Undergraduate,50451.0,North,2+ hours,SMS,Other,Neutral,"Friend recommendations, Visual appeal",Yes,Very unlikely,2181.0,No,Neutral,"Not enough discounts, Slow delivery, Too many choices",Sometimes,5.0,Neutral
18–24,Male,Postgraduate,16040.0,West,1–2 hours,"Other, SMS",Electronics,Likely,"Discounts/Offers, Visual appeal",Yes,Very likely,1312.0,Yes,Uncomfortable,Complicated checkout,Rarely,4.0,Excited
25–34,Female,Undergraduate,62036.0,North,30–60 mins,"Google Ads, Instagram, SMS",Apparel,Unlikely,"Discounts/Offers, Product reviews",No,Neutral,971.0,No,Uncomfortable,"Complicated checkout, Not enough discounts",Sometimes,1.0,Open but cautious
25–34,Male,Undergraduate,31464.0,North,1–2 hours,"Facebook, Instagram",Electronics,Likely,"Brand reputation, Visual appeal",Yes,Unlikely,471.0,Maybe,Very comfortable,"Others, Slow delivery",Sometimes,1.0,Neutral
35–44,Female,Undergraduate,19978.0,Central/Other,<30 mins,"Email, Facebook, Instagram",Apparel,Unlikely,"Friend recommendations, Visual appeal",Yes,Neutral,1689.0,No,Very uncomfortable,Complicated checkout,Sometimes,5.0,Excited
35–44,Female,Postgraduate,12858.0,South,1–2 hours,"Email, Google Ads, Other",Apparel,Neutral,"Discounts/Offers, Visual appeal",Yes,Likely,648.0,Maybe,Comfortable,"Complicated checkout, Others, Slow delivery",Often,1.0,Skeptical
55+,Female,Undergraduate,15824.0,South,2+ hours,"Email, Facebook, Google Ads",Apparel,Neutral,"Product reviews, Visual appeal",No,Unlikely,2006.0,Yes,Neutral,"Lack of trust, Slow delivery",Often,5.0,Skeptical
,Female,High school,18771.0,East,30–60 mins,Google Ads,Electronics,Likely,"Brand reputation, Product reviews",No,Unlikely,1021.0,Maybe,Comfortable,"Not enough discounts, Too many choices",Never,1.0,Skeptical
25–34,Female,Undergraduate,9049.0,Central/Other,1–2 hours,SMS,Services,Neutral,"Friend recommendations, Product reviews",Yes,Unlikely,367.0,No,Comfortable,"Complicated checkout, Not enough discounts",Often,5.0,Skeptical
35–44,Male,High school,15991.0,Central/Other,30–60 mins,Google Ads,Electronics,Very likely,"Discounts/Offers, Product reviews",Yes,Very likely,1197.0,Yes,Uncomfortable,"Others, Slow delivery, Too many choices",Sometimes,5.0,Neutral
25–34,Female,Undergraduate,12299.0,South,30–60 mins,Instagram,,Very likely,"Brand reputation, Product reviews",Yes,Unlikely,1130.0,No,Comfortable,"Complicated checkout, Not enough discounts, Others",Sometimes,5.0,Neutral
25–34,Male,Undergraduate,20924.0,Central/Other,30–60 mins,"Other, SMS",Apparel,Unlikely,"Discounts/Offers, Friend recommendations",Yes,Neutral,2020.0,Yes,Neutral,"Not enough discounts, Others, Slow delivery",Rarely,5.0,Neutral
18–24,Female,Postgraduate,33332.0,South,1–2 hours,"Email, Facebook",Apparel,Likely,"Friend recommendations, Visual appeal",Yes,Very likely,1736.0,Yes,Comfortable,"Not enough discounts, Too many choices",Sometimes,3.0,Skeptical
Under 18,Female,Undergraduate,39184.0,Central/Other,2+ hours,Facebook,Apparel,Unlikely,"Discounts/Offers, Friend recommendations",No,Unlikely,448.0,Maybe,Neutral,"Others, Slow delivery",Rarely,1.0,Neutral
55+,Female,,9574.0,North,2+ hours,"Email, Facebook, Instagram",,Neutral,"Brand reputation, Product reviews",Yes,Very likely,1814.0,Yes,Very comfortable,"Complicated checkout, Lack of trust",Sometimes,5.0,Open but cautious
45–54,Male,Other,18579.0,South,30–60 mins,"Facebook, Google Ads, Other",Apparel,Likely,"Discounts/Offers, Personalization",No,Very likely,825.0,Maybe,Comfortable,"Lack of trust, Others, Slow delivery",Never,2.0,Open but cautious
35–44,Female,High school,24876.0,South,2+ hours,"Email, SMS",Groceries,Likely,"Personalization, Visual appeal",Yes,Likely,786.0,Yes,Very comfortable,"Lack of trust, Not enough discounts, Others",Rarely,4.0,Skeptical
25–34,Female,Undergraduate,17327.0,West,1–2 hours,Other,Services,Likely,"Discounts/Offers, Visual appeal",No,Unlikely,1621.0,,Neutral,"Others, Slow delivery, Too many choices",Never,2.0,Excited
18–24,Female,Undergraduate,10486.0,Central/Other,30–60 mins,Facebook,Other,Neutral,"Brand reputation, Visual appeal",No,Neutral,765.0,Maybe,Neutral,Complicated checkout,Rarely,2.0,Neutral
18–24,Male,Undergraduate,58187.0,Central/Other,<30 mins,Email,Apparel,Neutral,"Brand reputation, Discounts/Offers",Yes,Likely,2388.0,,Comfortable,Slow delivery,Rarely,3.0,Disinterested
25–34,Male,Undergraduate,30906.0,South,30–60 mins,Google Ads,Services,Unlikely,"Brand reputation, Friend recommendations",Yes,Very likely,336.0,No,Very comfortable,Others,Sometimes,1.0,Neutral
25–34,Male,Postgraduate,33354.0,North,2+ hours,"Other, SMS",Apparel,Likely,"Personalization, Product reviews",Yes,Unlikely,1097.0,No,Very comfortable,"Lack of trust, Not enough discounts",Never,3.0,Disinterested
35–44,Male,,8410.0,North,1–2 hours,"Email, Instagram",Apparel,Likely,"Friend recommendations, Visual appeal",Yes,Likely,1112.0,No,Neutral,"Lack of trust, Not enough discounts, Others",Sometimes,1.0,Neutral
35–44,Female,Undergraduate,35883.0,North,1–2 hours,"Facebook, Other",Services,Likely,"Brand reputation, Discounts/Offers",Yes,Neutral,533.0,Maybe,Comfortable,Too many choices,Rarely,5.0,Excited
25–34,Male,Undergraduate,39042.0,Central/Other,30–60 mins,"Facebook, Instagram, Other",Groceries,Neutral,"Personalization, Product reviews",Yes,Unlikely,866.0,No,Uncomfortable,"Lack of trust, Others, Too many choices",Always,3.0,Skeptical
55+,Non-binary/Other,Postgraduate,39731.0,West,1–2 hours,"Email, SMS",Apparel,Neutral,"Brand reputation, Discounts/Offers",Yes,Neutral,815.0,Yes,Neutral,"Others, Slow delivery, Too many choices",Always,4.0,Open but cautious
35–44,Male,Postgraduate,29664.0,South,<30 mins,Instagram,Electronics,Neutral,"Discounts/Offers, Product reviews",No,Likely,338.0,Maybe,Uncomfortable,Slow delivery,Rarely,1.0,Open but cautious
25–34,Male,Postgraduate,59334.0,East,30–60 mins,"Facebook, Other, SMS",Apparel,,"Friend recommendations, Personalization",Yes,Neutral,663.0,Yes,Neutral,Complicated checkout,Sometimes,3.0,Open but cautious
35–44,Female,High school,20942.0,West,1–2 hours,Email,Groceries,Neutral,"Brand reputation, Discounts/Offers",No,Neutral,1004.0,No,Very comfortable,"Lack of trust, Others, Slow delivery",Never,4.0,Open but cautious
25–34,Female,Undergraduate,9907.0,East,<30 mins,Other,Electronics,Likely,,Yes,Very likely,962.0,Maybe,Uncomfortable,Others,Always,2.0,Open but cautious
18–24,Male,High school,24838.0,West,2+ hours,"Email, Facebook, SMS",Other,Very likely,"Discounts/Offers, Product reviews",No,Neutral,1674.0,No,Comfortable,Not enough discounts,Sometimes,5.0,Open but cautious
25–34,Female,Undergraduate,33681.0,North,30–60 mins,"Email, Google Ads, Instagram",Apparel,Likely,"Friend recommendations, Product reviews",Yes,Neutral,2259.0,Maybe,Comfortable,"Complicated checkout, Too many choices",Never,5.0,Neutral
35–44,Female,High school,37628.0,Central/Other,1–2 hours,"Facebook, Instagram, Other",Electronics,Likely,"Friend recommendations, Product reviews",Yes,Neutral,893.0,No,Uncomfortable,"Complicated checkout, Not enough discounts, Others",Rarely,2.0,Skeptical
Under 18,Male,Undergraduate,9600.0,East,30–60 mins,SMS,Electronics,Very unlikely,"Personalization, Visual appeal",No,Neutral,475.0,Maybe,Neutral,"Not enough discounts, Others, Slow delivery",Never,3.0,Open but cautious
18–24,Prefer not to say,Undergraduate,11938.0,West,1–2 hours,"Instagram, Other",Electronics,Very likely,"Brand reputation, Friend recommendations",Yes,Likely,1406.0,Maybe,Neutral,Too many choices,Sometimes,2.0,Excited
Under 18,Non-binary/Other,High school,53544.0,Central/Other,<30 mins,Instagram,Apparel,Very unlikely,"Brand reputation, Friend recommendations",No,Very likely,1000.0,Yes,Uncomfortable,"Complicated checkout, Too many choices",Sometimes,4.0,Neutral
Under 18,Female,Undergraduate,32616.0,East,<30 mins,"Facebook, Instagram",Groceries,Very likely,"Discounts/Offers, Friend recommendations",Yes,Neutral,1912.0,Yes,Comfortable,,Sometimes,1.0,Neutral
45–54,Male,Undergraduate,41467.0,South,2+ hours,"Email, Other",Services,Likely,"Friend recommendations, Product reviews",Yes,Likely,1017.0,No,Very comfortable,"Lack of trust, Not enough discounts",Sometimes,3.0,Skeptical
35–44,Female,Undergraduate,38351.0,West,30–60 mins,Facebook,Services,Neutral,"Friend recommendations, Personalization",Yes,Very unlikely,1125.0,Maybe,Uncomfortable,"Complicated checkout, Too many choices",Rarely,1.0,Excited
25–34,Male,High school,20376.0,South,2+ hours,"Instagram, Other",Services,Very likely,"Brand reputation, Discounts/Offers",No,Unlikely,975.0,Yes,Uncomfortable,Slow delivery,Rarely,2.0,Skeptical
18–24,Male,Undergraduate,20263.0,North,2+ hours,"Instagram, Other",Services,Very unlikely,"Friend recommendations, Visual appeal",Yes,Neutral,2424.0,Yes,,"Complicated checkout, Lack of trust",Rarely,5.0,Open but cautious
25–34,Male,Postgraduate,51581.0,South,30–60 mins,"Email, Instagram, Other",Electronics,Likely,"Brand reputation, Personalization",No,Very unlikely,1186.0,Yes,Comfortable,Lack of trust,Often,1.0,Neutral
25–34,Male,High school,30137.0,South,30–60 mins,"Facebook, Other",Services,Likely,"Personalization, Product reviews",No,Unlikely,2009.0,Maybe,Neutral,"Complicated checkout, Lack of trust, Too many choices",Rarely,1.0,Excited
18–24,Female,High school,27834.0,West,1–2 hours,Instagram,Apparel,Neutral,"Personalization, Product reviews",Yes,Neutral,889.0,No,Very uncomfortable,"Not enough discounts, Others",Sometimes,5.0,Open but cautious
25–34,Female,Undergraduate,9893.0,North,2+ hours,"Email, Instagram, SMS",Electronics,Neutral,"Friend recommendations, Product reviews",Yes,Very unlikely,1572.0,Yes,Neutral,Too many choices,Rarely,1.0,Open but cautious
